City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Tuatapere,NZ,2021-04-27 23:22:20,-46.1333,167.6833,52.0,82,97,4.0
232,Yerbogachen,RU,2021-04-27 23:22:20,61.2767,108.0108,22.71,75,32,1.86
233,Souillac,MU,2021-04-27 23:22:21,-20.5167,57.5167,77.0,94,75,10.36
234,Sao Miguel Do Araguaia,BR,2021-04-27 23:22:21,-13.275,-50.1628,78.19,65,31,2.21
235,Sibolga,ID,2021-04-27 23:22:21,1.7427,98.7792,75.87,89,100,2.44
236,Tuktoyaktuk,CA,2021-04-27 23:22:22,69.4541,-133.0374,19.4,58,20,10.36
237,Jijiga,ET,2021-04-27 23:22:22,9.35,42.8,65.91,71,92,6.67
238,Wajima,JP,2021-04-27 23:22:22,37.4,136.9,59.0,67,75,5.75
239,Phulabani,IN,2021-04-27 23:22:23,20.4667,84.2333,75.54,46,0,2.59
240,Constitucion,CL,2021-04-27 23:22:23,-35.3333,-72.4167,57.56,76,49,10.4
241,Chernyshevskiy,RU,2021-04-27 23:22:23,63.0128,112.4714,17.91,83,56,1.12
242,Isangel,VU,2021-04-27 23:22:23,-19.55,169.2667,78.8,69,75,9.22
243,Balkanabat,TM,2021-04-27 23:22:24,39.5108,54.3671,61.74,76,57,6.31
244,Mosquera,CO,2021-04-27 23:22:24,4.7059,-74.2302,57.2,88,75,5.75
245,Diego De Almagro,CL,2021-04-27 23:22:24,-26.3667,-70.05,62.47,51,0,4.83
246,Dengzhou,CN,2021-04-27 23:22:25,37.8086,120.7508,53.17,62,72,7.05
247,Katsuura,JP,2021-04-27 23:22:25,35.1333,140.3,66.0,77,40,4.61
248,Chhagalnaiya,BD,2021-04-27 23:22:25,23.03,91.5069,76.3,95,18,5.48
249,Northam,GB,2021-04-27 23:22:26,51.0333,-4.2167,46.99,85,100,5.01
250,Kaduqli,SD,2021-04-27 23:22:26,11.0167,29.7167,88.81,30,89,3.02
251,Alekseyevsk,RU,2021-04-27 23:22:26,57.8406,108.3492,22.42,80,22,4.68
252,Laizhou,CN,2021-04-27 23:22:26,37.1717,119.9214,55.87,54,64,5.93
253,Puerto Ayora,EC,2021-04-27 23:22:27,-0.7393,-90.3518,82.4,78,20,13.8
254,Praya,CV,2021-04-27 23:22:27,14.9215,-23.5087,71.6,73,20,17.27
255,Dalbandin,PK,2021-04-27 23:22:27,28.8947,64.4101,79.3,19,87,3.0
256,Palestina,PS,2021-04-27 23:22:28,31.9216,35.2033,60.8,82,20,3.44
257,Burns Lake,CA,2021-04-27 23:22:28,54.2331,-125.7533,41.0,87,100,8.05
258,Rio Grande,BR,2021-04-27 23:22:28,-32.035,-52.0986,50.0,90,49,9.13
